organismQuantity	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	scientificName	scientificNameID	taxonRank	identificationRemarks	occurrenceID	materialSampleID
272985	present	Hugo Gante	eDNA expeditions citizen science sampling	716167	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0207	EE0207
191998	present	Hugo Gante	eDNA expeditions citizen science sampling	716167	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Ovalentaria incertae sedis	Pomacentridae	Chromis	Chromis atrilobata	urn:lsid:marinespecies.org:taxname:273712	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;o_Actinopteri;Pomacentridae;Chromis;Chromis_atrilobata, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits EF489729,EF489730,EF489728,FJ616427,EF489726, identities 100,99.6,99.6,97.4,97.1, taxonomy Chromis_atrilobata,Chromis_atrilobata,Chromis_atrilobata,Chromis_multilineata,Chromis_multilineata, consensus Eukaryota;Chordata;Actinopteri;Pomacentridae;Chromis;Chromis_atrilobata.	asv.2_EE0207	EE0207
102887	present	Hugo Gante	eDNA expeditions citizen science sampling	212922	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0208	EE0208
84945	present	Hugo Gante	eDNA expeditions citizen science sampling	159414	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0240	EE0240
79038	present	Hugo Gante	eDNA expeditions citizen science sampling	153750	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0209	EE0209
70838	present	Hugo Gante	eDNA expeditions citizen science sampling	246022	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Ovalentaria incertae sedis	Pomacentridae	Chromis	Chromis atrilobata	urn:lsid:marinespecies.org:taxname:273712	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;o_Actinopteri;Pomacentridae;Chromis;Chromis_atrilobata, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits EF489729,EF489730,EF489728,FJ616427,EF489726, identities 100,99.6,99.6,97.4,97.1, taxonomy Chromis_atrilobata,Chromis_atrilobata,Chromis_atrilobata,Chromis_multilineata,Chromis_multilineata, consensus Eukaryota;Chordata;Actinopteri;Pomacentridae;Chromis;Chromis_atrilobata.	asv.2_EE0160	EE0160
68857	present	Hugo Gante	eDNA expeditions citizen science sampling	121303	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Carangaria incertae sedis	Centropomidae	Centropomus	Centropomus medius	urn:lsid:marinespecies.org:taxname:280061	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;o_Actinopteri;Centropomidae;Centropomus;Centropomus_medius, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits U85019,U85018, identities 100,97.1, taxonomy Centropomus_medius,Centropomus_pectinatus, consensus Eukaryota;Chordata;Actinopteri;Centropomidae;Centropomus.	asv.3_EE0192	EE0192
55544	present	Hugo Gante	eDNA expeditions citizen science sampling	132190	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0238	EE0238
40384	present	Hugo Gante	eDNA expeditions citizen science sampling	246022	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Clupeiformes	Dorosomatidae	Opisthonema	Opisthonema libertate	urn:lsid:marinespecies.org:taxname:275504	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Opisthonema;Opisthonema_libertate, confidences 1;1;1;1;1;0.99;0.81. No VSEARCH hits at 0.97 identity.	asv.4_EE0160	EE0160
36846	present	Hugo Gante	eDNA expeditions citizen science sampling	212922	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Ovalentaria incertae sedis	Pomacentridae	Chromis	Chromis atrilobata	urn:lsid:marinespecies.org:taxname:273712	species	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;o_Actinopteri;Pomacentridae;Chromis;Chromis_atrilobata, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits EF489729,EF489730,EF489728,FJ616427,EF489726, identities 100,99.6,99.6,97.4,97.1, taxonomy Chromis_atrilobata,Chromis_atrilobata,Chromis_atrilobata,Chromis_multilineata,Chromis_multilineata, consensus Eukaryota;Chordata;Actinopteri;Pomacentridae;Chromis;Chromis_atrilobata.	asv.2_EE0208	EE0208
